aged_wood,"[0.18, 0.18, 0.19, 0.19, 0.19, 0.22, 0.24, 0.24, 0.24]"
green_wood,"[0.1, 0.1, 0.1, 0.1, 0.14, 0.14, 0.15, 0.15, 0.15]"
ironwood,"[1.9, 1.98, 1.99, 2.0, 2.0]"
wyrdwood,"[0.08, 0.08, 0.08, 0.1, 0.1, 0.14, 0.14, 0.15, 0.15]"
